,No
monocyte count increased,1220
feeling abnormal,1221
breast engorgement,1222
herpes zoster multi-dermatomal,1223
finger hypoplasia,1224
meconium plug syndrome,1225
breast cyst excision,1226
ultrasound pelvis,1227
abnormal weight gain,1228
biopsy liver abnormal,1229
central venous pressure increased,1230
protein total abnormal,1231
full blood count decreased,1232
traumatic liver injury,1233
spinal cord compression,1234
agitation,1235
b-lymphocyte abnormalities,1236
renal artery occlusion,1237
blood lactic acid decreased,1238
injection site recall reaction,1239
congenital flat feet,1240
colon spastic,1241
tracheal disorder,1242
sudden infant death syndrome,1243
hepatic necrosis,1244
patellofemoral pain syndrome,1245
anovulatory cycle,1246
acid base balance,1247
ileitis,1248
coagulation factor xiii level decreased,1249
meniscus removal,1250
diabetic acidosis,1251
urine amphetamine positive,1252
cor pulmonale,1253
right ventricular failure,1254
femoral pulse decreased,1255
insulin resistance,1256
heart block congenital,1257
reaction to preservatives,1258
colonic fistula,1259
renal oncocytoma,1260
paraneoplastic dermatomyositis,1261
rhinitis,1262
traumatic haematoma,1263
bronchial irritation,1264
urine analysis,1265
csf virus identified,1266
atrioventricular septal defect,1267
costovertebral angle tenderness,1268
enzyme abnormality,1269
nodding of head,1270
hypothyroidism,1271
injection site reaction,1272
arthropod infestation,1273
metastases to uterus,1274
hydrothorax,1275
agonal rhythm,1276
vena cava thrombosis,1277
dermatitis bullous,1278
neurectomy,1279
vulval erythema,1280
cerebral ataxia,1281
infected insect bite,1282
basophil count decreased,1283
arterial disorder,1284
uterine cancer,1285
colitis collagenous,1286
bronchioloalveolar carcinoma,1287
band neutrophil percentage increased,1288
red blood cell target cells present,1289
carcinoid tumour of the gastrointestinal tract,1290
tracheal deviation,1291
developmental coordination disorder,1292
antigliadin antibody positive,1293
partner stress,1294
accident at work,1295
granuloma skin,1296
ph urine increased,1297
pulmonary necrosis,1298
cardiac neoplasm malignant,1299
refractory cytopenia with unilineage dysplasia,1300
markedly reduced dietary intake,1301
analgesic drug level,1302
furuncle,1303
red blood cell sedimentation rate,1304
acute lymphocytic leukaemia recurrent,1305
bacteria urine no organism observed,1306
protein total decreased,1307
chylothorax,1308
bronchitis fungal,1309
general symptom,1310
renal tubular disorder,1311
trisomy 13,1312
prostate examination abnormal,1313
free thyroxine index increased,1314
abscess oral,1315
food aversion,1316
peripheral nerve destruction,1317
physical breast examination abnormal,1318
uterine polypectomy,1319
death of spouse,1320
teeth brittle,1321
tachyarrhythmia,1322
renal tuberculosis,1323
dependence on enabling machine or device,1324
application site inflammation,1325
sleep talking,1326
asbestosis,1327
b precursor type acute leukaemia,1328
hepatitis b virus test,1329
pharyngoesophageal diverticulum,1330
vascular malformation peripheral,1331
superior vena caval stenosis,1332
congenital intestinal malformation,1333
vaginal abscess,1334
peritonitis sclerosing,1335
endocarditis noninfective,1336
systemic mycosis,1337
epidermal necrosis,1338
colon neoplasm,1339
metastases to eye,1340
epidermal and dermal conditions,1341
hernia congenital,1342
breast cancer in situ,1343
csf neutrophil count increased,1344
metamyelocyte percentage increased,1345
paroxysmal arrhythmia,1346
latex allergy,1347
cranial sutures widening,1348
optic nerve sheath haemorrhage,1349
renal aplasia,1350
situs inversus,1351
pain,1352
rotavirus test positive,1353
cerebrosclerosis,1354
cholangiogram,1355
microstomia,1356
parathyroid gland enlargement,1357
intercepted drug administration error,1358
pain exacerbated,1359
purpura senile,1360
granuloma,1361
optic nerve glioma,1362
congenital choroid plexus cyst,1363
autologous bone marrow transplantation therapy,1364
urine potassium decreased,1365
cogwheel rigidity,1366
intestinal ulcer perforation,1367
bronchiolitis,1368
albumin urine,1369
chondromatosis,1370
ejaculation failure,1371
renal dysplasia,1372
cows milk free diet,1373
reticulocyte count abnormal,1374
blood thyroid stimulating hormone increased,1375
infusion site mass,1376
paget's disease of the breast,1377
urinary anastomotic leak,1378
joint ankylosis,1379
allergic sinusitis,1380
blood potassium increased,1381
pyometra,1382
inflammation of wound,1383
dermatitis,1384
retinal infiltrates,1385
cervical erosion,1386
pituitary haemorrhage,1387
cystostomy,1388
soliloquy,1389
concomitant disease aggravated,1390
intestinal stenosis,1391
open angle glaucoma,1392
duodenal ulcer haemorrhage,1393
causalgia,1394
acute bronchitis,1395
varices oesophageal,1396
cystitis radiation,1397
hepatic siderosis,1398
nephrogenic diabetes insipidus,1399
chlamydia identification test positive,1400
anti-gad antibody positive,1401
renal cortical necrosis,1402
ecchymoses,1403
facial spasm,1404
carcinoid tumour pulmonary,1405
pseudophakia,1406
radical prostatectomy,1407
antipsychotic drug level below therapeutic,1408
right ventricular systolic pressure decreased,1409
meconium peritonitis,1410
removal of internal fixation,1411
fallopian tube cancer,1412
candidiasis of vagina,1413
umbilical cord prolapse,1414
congenital gastric anomaly,1415
congenital ovarian anomaly,1416
protein albumin ratio increased,1417
coagulation time shortened,1418
sarcoma of skin,1419
vascular calcification,1420
cardiac flutter,1421
blood creatine abnormal,1422
adult t-cell lymphoma/leukaemia,1423
hepatic embolisation,1424
cytotoxic oedema,1425
electrocardiogram pr prolongation,1426
vagus nerve disorder,1427
cloacal exstrophy,1428
aphagia,1429
gastrostomy tube insertion,1430
blood albumin,1431
infection upper respiratory,1432
paradoxical embolism,1433
toe amputation,1434
homicidal ideation,1435
very low density lipoprotein increased,1436
forceps delivery,1437
catheter site cellulitis,1438
cardiac asthma,1439
biopsy kidney,1440
product contamination,1441
metastatic carcinoid tumour,1442
glabellar reflex abnormal,1443
cranial nerve injury,1444
amniotic fluid embolus,1445
bite,1446
strongyloidiasis,1447
metastases to oesophagus,1448
csf lactate dehydrogenase increased,1449
tendon operation,1450
alpha 1 foetoprotein,1451
testes pain,1452
oral infection,1453
muscle flap operation,1454
intestinal anastomosis complication,1455
denervation atrophy,1456
metastases to chest wall,1457
blood human chorionic gonadotropin decreased,1458
serum serotonin decreased,1459
immune agglutinins,1460
benign neoplasm of prostate,1461
conjunctival follicles,1462
csf monocyte count decreased,1463
limb reduction defect,1464
n-telopeptide urine increased,1465
serratia bacteraemia,1466
atrophy,1467
secondary syphilis,1468
rift valley fever,1469
arthrodesis,1470
arachnoid cyst,1471
keratorhexis,1472
personality change due to a general medical condition,1473
heat exhaustion,1474
skin plaque,1475
phobia of driving,1476
sympathomimetic effect,1477
lymphocyte stimulation test positive,1478
tuberculous pleurisy,1479
arterial haemorrhage,1480
humerus fracture,1481
conjunctival disorder,1482
ekbom syndrome,1483
clotting,1484
dislocation of joint prosthesis,1485
failure of implant,1486
muscle disorder,1487
transaminases decreased,1488
schizophrenia,1489
initial insomnia,1490
metastases to retroperitoneum,1491
amniocentesis,1492
idiosyncratic drug reaction,1493
ventricular assist device insertion,1494
drug level fluctuating,1495
spinal haemangioma,1496
mycobacterium avium complex infection,1497
deficiency anaemia,1498
meningitis chemical,1499
semen volume increased,1500
branchial cleft cyst,1501
colonic polyp,1502
post procedural vomiting,1503
metastases to salivary gland,1504
ecg signs of myocardial ischaemia,1505
jaw disorder,1506
pancreatic neuroendocrine tumour,1507
toxic optic neuropathy,1508
respiratory tract congestion,1509
prosthesis implantation,1510
electrocardiogram ambulatory abnormal,1511
lymphoma,1512
intracranial aneurysm,1513
liver carcinoma ruptured,1514
vagotomy,1515
endocarditis,1516
hepatic ischaemia,1517
catheter related infection,1518
electrocardiogram qrs complex,1519
zygomycosis,1520
pulmonary valve incompetence,1521
jealous delusion,1522
loss of control of legs,1523
microphthalmos,1524
disorder peripheral vascular,1525
enamel anomaly,1526
light chain analysis increased,1527
blood creatine phosphokinase,1528
peripheral ischaemia,1529
haemodialysis-induced symptom,1530
flat affect,1531
lordosis,1532
hypersexuality,1533
chemical eye injury,1534
liver function test,1535
otitis media,1536
foot and mouth disease,1537
meralgia paraesthetica,1538
endotracheal intubation complication,1539
congenital vaginal cyst,1540
dermatitis acneiform,1541
ear piercing,1542
application site exfoliation,1543
feeling of despair,1544
depersonalisation,1545
limb hypoplasia congenital,1546
peliosis,1547
uterine leiomyosarcoma,1548
subcutaneous emphysema,1549
"hallucination, auditory",1550
avoidant personality disorder,1551
ophthalmic fluid drainage,1552
biliary drainage,1553
carcinoembryonic antigen increased,1554
platelet morphology abnormal,1555
respiratory disorder,1556
asthenia,1557
bone swelling,1558
myelitis,1559
mammoplasty,1560
psoriasis,1561
schizotypal personality disorder,1562
cd4 lymphocytes decreased,1563
corneal exfoliation,1564
amoebic colitis,1565
optic atrophy,1566
drug implant rejection,1567
secretion discharge,1568
lumbar puncture,1569
tongue blistering,1570
diastolic dysfunction,1571
gingival pruritus,1572
prostatic operation,1573
gonadotrophin deficiency,1574
difficulty breathing,1575
hepatic function abnormal,1576
umbilical hernia perforation,1577
blood cannabinoids,1578
csf lymphocyte count abnormal,1579
hypnopompic hallucination,1580
blood electrolytes abnormal,1581
lichenoid keratosis,1582
head discomfort,1583
wound decomposition,1584
factor xiii inhibition,1585
t-cell lymphoma recurrent,1586
ovarian dysgerminoma stage unspecified,1587
pancreatic enlargement,1588
glioblastoma multiforme,1589
intensive care,1590
benign gastrointestinal neoplasm,1591
bone metabolism disorder,1592
mydriasis,1593
dengue fever,1594
ewing's sarcoma metastatic,1595
cellulitis streptococcal,1596
legionella infection,1597
poikilocytosis,1598
supraventricular tachycardia,1599
insulin c-peptide decreased,1600
eosinophil count decreased,1601
cortisol free urine decreased,1602
urticaria,1603
vascular procedure complication,1604
adenocarcinoma of the cervix,1605
impaired insulin secretion,1606
herpes simplex,1607
femoral neck fracture,1608
douglas' abscess,1609
metastases to peritoneum,1610
tri-iodothyronine abnormal,1611
myopathy toxic,1612
tendinous contracture,1613
metastases to bladder,1614
refusal of treatment by patient,1615
arteriovenous graft site infection,1616
blood in urine,1617
oral herpes,1618
csf pressure decreased,1619
accidental exposure to product,1620
injection site ulcer,1621
hypoprolactinaemia,1622
asthma,1623
hepatitis e,1624
spinal osteoarthritis,1625
oesophageal mucosal hyperplasia,1626
antipsychotic drug level above therapeutic,1627
foetal heart rate increased,1628
galactorrhoea,1629
female genital-digestive tract fistula,1630
bladder squamous cell carcinoma stage unspecified,1631
paracentesis,1632
subendocardial ischaemia,1633
coronary artery thrombosis,1634
hypoaesthesia facial,1635
autoimmune neutropenia,1636
congenital teratoma,1637
electrocardiogram ambulatory,1638
conjunctival ulcer,1639
gliosis,1640
plasmacytosis,1641
hip dysplasia,1642
ovarian germ cell teratoma benign,1643
virus serology test positive,1644
physical examination abnormal,1645
osteitis condensans,1646
blood prolactin decreased,1647
cervix carcinoma stage iv,1648
meningitis eosinophilic,1649
thoracic operation,1650
incision site oedema,1651
aortic arteriosclerosis,1652
blood creatine phosphokinase mb abnormal,1653
necrotising fasciitis streptococcal,1654
cortical laminar necrosis,1655
congenital tongue anomaly,1656
tetanus,1657
multiple drug overdose,1658
gastrooesophagitis,1659
pulmonary arterial wedge pressure decreased,1660
extramedullary haemopoiesis,1661
microscopic polyangiitis,1662
behcet's syndrome,1663
malignant melanoma in situ,1664
synovial rupture,1665
oxygen consumption decreased,1666
hiv wasting syndrome,1667
lung cancer metastatic,1668
gastrooesophageal sphincter insufficiency,1669
chemical cystitis,1670
pulmonary haemosiderosis,1671
eye luxation,1672
biopsy chest wall abnormal,1673
pharyngeal operation,1674
pharyngolaryngeal pain,1675
lateral medullary syndrome,1676
haemangioma of retina,1677
suprapubic catheter insertion,1678
antasthmatic drug level below therapeutic,1679
anorectal infection,1680
chondrosarcoma,1681
chondrosis,1682
red blood cell anisocytes present,1683
pneumonia chlamydial,1684
glaucoma,1685
ductus arteriosus stenosis foetal,1686
aspiration tracheal,1687
gastrointestinal inflammation,1688
cardiac ventricular disorder,1689
toxic encephalopathy,1690
injection site pustule,1691
mycobacterium fortuitum infection,1692
therapeutic embolisation,1693
adynamic ileus,1694
corneal infiltrates,1695
central nervous system lesion,1696
embolic stroke,1697
